concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
		"ICDO3"		"X"	"8381/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8382/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8383/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8384/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8390/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8390/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8391/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8392/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8400/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8400/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8400/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8401/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8401/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8402/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8402/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8403/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8403/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8404/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8405/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8406/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8407/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8407/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8408/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8408/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8409/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8480/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8480/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8480/6"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8481/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8482/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8490/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8490/6"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8500/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8500/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8501/2"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8501/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8502/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8503/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8743/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8744/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8745/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8746/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8750/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8760/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8761/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8761/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8761/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8000/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8000/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8000/6"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8000/9"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8001/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8001/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8001/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8002/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8003/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8004/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8005/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8005/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8010/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8932/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8933/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8934/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8935/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8935/1"	"2015-09-18"		"X"
		"ICDO3"		"X"	"8935/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9300/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9301/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9302/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9310/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9310/3"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9311/0"	"2015-09-18"		"X"
		"ICDO3"		"X"	"9312/0"	"2015-09-18"		"X"
