"concept_code_1","concept_code_2","relationship_id"
"128-2900","128","item of schema"
"95-400","95","item of schema"
"95-522","95","item of schema"
"95-390","95","item of schema"
"95-2935","95","item of schema"
"95-523","95","item of schema"
"95-440","95","item of schema"
"95-230","95","item of schema"
"95-1182","95","item of schema"
"95-2800","95","item of schema"
"95-2810","95","item of schema"
"95-2820","95","item of schema"
"95-2830","95","item of schema"
"95-2840","95","item of schema"
"95-820","95","item of schema"
"95-830","95","item of schema"
"95-2850","95","item of schema"
"95-2860","95","item of schema"
"95-2880","95","item of schema"
"95-2890","95","item of schema"
"95-2900","95","item of schema"
"95-2910","95","item of schema"
"143-400","143","item of schema"
"143-522","143","item of schema"
"143-390","143","item of schema"
"143-2935","143","item of schema"
"143-523","143","item of schema"
"143-440","143","item of schema"
"143-230","143","item of schema"
"143-1182","143","item of schema"
"143-2800","143","item of schema"
"143-2810","143","item of schema"
"143-2820","143","item of schema"
"143-2830","143","item of schema"
"143-2840","143","item of schema"
"143-820","143","item of schema"
"143-830","143","item of schema"
"143-2850","143","item of schema"
"143-2860","143","item of schema"
"143-2880","143","item of schema"
"143-2890","143","item of schema"
"143-2900","143","item of schema"
"143-2910","143","item of schema"
"143-2920","143","item of schema"
"143-2930","143","item of schema"
"143-2861","143","item of schema"
"143-2862","143","item of schema"
"106-400","106","item of schema"
"106-522","106","item of schema"
"106-390","106","item of schema"
"106-2935","106","item of schema"
"106-523","106","item of schema"
"106-440","106","item of schema"
"106-230","106","item of schema"
"106-1182","106","item of schema"
"106-2800","106","item of schema"
"106-2810","106","item of schema"
"106-2820","106","item of schema"
"106-2830","106","item of schema"
"106-2840","106","item of schema"
"106-820","106","item of schema"
"106-830","106","item of schema"
"106-2850","106","item of schema"
"106-2860","106","item of schema"
"106-2880","106","item of schema"
"106-2890","106","item of schema"
"106-2900","106","item of schema"
"106-2910","106","item of schema"
"106-2920","106","item of schema"
"106-2930","106","item of schema"
"106-2861","106","item of schema"
"106-2862","106","item of schema"
"106-2863","106","item of schema"
"106-2864","106","item of schema"
"106-2865","106","item of schema"
"106-2866","106","item of schema"
"106-2867","106","item of schema"
"106-2868","106","item of schema"
"106-2869","106","item of schema"
"106-2870","106","item of schema"
"106-2871","106","item of schema"
"106-2872","106","item of schema"
"106-2873","106","item of schema"
"106-2874","106","item of schema"
"106-2875","106","item of schema"
"106-2876","106","item of schema"
"106-2877","106","item of schema"
"106-2878","106","item of schema"
"25-400","25","item of schema"
"25-522","25","item of schema"
"25-390","25","item of schema"
"25-2935","25","item of schema"
"25-523","25","item of schema"
"25-440","25","item of schema"
"25-230","25","item of schema"
"25-1182","25","item of schema"
"25-2800","25","item of schema"
"25-2810","25","item of schema"
"25-2820","25","item of schema"
"25-2830","25","item of schema"
"25-2840","25","item of schema"
"25-820","25","item of schema"
"25-830","25","item of schema"
"25-2850","25","item of schema"
"25-2860","25","item of schema"
"25-2880","25","item of schema"
"25-2890","25","item of schema"
"25-2900","25","item of schema"
"25-2910","25","item of schema"
"25-2920","25","item of schema"
"25-2930","25","item of schema"
"25-2861","25","item of schema"
"25-2862","25","item of schema"
"25-2863","25","item of schema"
"25-2864","25","item of schema"
"25-2865","25","item of schema"
"51-400","51","item of schema"
"51-522","51","item of schema"
"51-390","51","item of schema"
"51-2935","51","item of schema"
"51-523","51","item of schema"
"51-440","51","item of schema"
"51-230","51","item of schema"
"51-1182","51","item of schema"
"51-2800","51","item of schema"
"51-2810","51","item of schema"
"51-2820","51","item of schema"
"51-2830","51","item of schema"
"51-2840","51","item of schema"
"51-820","51","item of schema"
"51-830","51","item of schema"
"51-2850","51","item of schema"
"51-2860","51","item of schema"
"51-2880","51","item of schema"
"51-2890","51","item of schema"
"51-2867","51","item of schema"
"110-400","110","item of schema"
"110-522","110","item of schema"
"110-390","110","item of schema"
"110-2935","110","item of schema"
"110-523","110","item of schema"
"110-440","110","item of schema"
"110-230","110","item of schema"
"110-1182","110","item of schema"
"110-2800","110","item of schema"
"110-2810","110","item of schema"
"110-2820","110","item of schema"
"110-2830","110","item of schema"
"110-2840","110","item of schema"
"110-820","110","item of schema"
"110-830","110","item of schema"
"110-2850","110","item of schema"
"110-2860","110","item of schema"
"110-2880","110","item of schema"
"110-2890","110","item of schema"
"110-2900","110","item of schema"
"110-2910","110","item of schema"
"110-2920","110","item of schema"
"110-2930","110","item of schema"
"110-2861","110","item of schema"
"110-2862","110","item of schema"
"110-2863","110","item of schema"
"144-400","144","item of schema"
"144-522","144","item of schema"
"144-390","144","item of schema"
"144-2935","144","item of schema"
"144-523","144","item of schema"
"144-440","144","item of schema"
"144-230","144","item of schema"
"144-1182","144","item of schema"
"144-2800","144","item of schema"
"144-2810","144","item of schema"
"144-2820","144","item of schema"
"144-2830","144","item of schema"
"144-2840","144","item of schema"
"144-820","144","item of schema"
"144-830","144","item of schema"
"144-2850","144","item of schema"
"144-2860","144","item of schema"
"144-2880","144","item of schema"
"144-2890","144","item of schema"
"144-2900","144","item of schema"
"144-2910","144","item of schema"
"144-2920","144","item of schema"
"144-2930","144","item of schema"
"144-2861","144","item of schema"
"144-2862","144","item of schema"
"53-400","53","item of schema"
"53-522","53","item of schema"
"53-390","53","item of schema"
"53-2935","53","item of schema"
"53-523","53","item of schema"
"53-440","53","item of schema"
"53-230","53","item of schema"
"53-1182","53","item of schema"
"53-2800","53","item of schema"
"53-2810","53","item of schema"
"53-2820","53","item of schema"
"53-2830","53","item of schema"
"53-2840","53","item of schema"
"53-820","53","item of schema"
"53-830","53","item of schema"
"53-2850","53","item of schema"
"53-2860","53","item of schema"
"53-2880","53","item of schema"
"53-2890","53","item of schema"
"53-2900","53","item of schema"
"53-2910","53","item of schema"
"53-2920","53","item of schema"
"53-2930","53","item of schema"
"53-2861","53","item of schema"
"53-2862","53","item of schema"
"53-2863","53","item of schema"
"53-2864","53","item of schema"
"131-400","131","item of schema"
"131-522","131","item of schema"
"131-390","131","item of schema"
"131-2935","131","item of schema"
"131-523","131","item of schema"
"131-440","131","item of schema"
"131-230","131","item of schema"
"131-1182","131","item of schema"
"131-2800","131","item of schema"
"131-2810","131","item of schema"
"131-2820","131","item of schema"
"131-2830","131","item of schema"
"131-2840","131","item of schema"
"131-820","131","item of schema"
"131-830","131","item of schema"
"131-2850","131","item of schema"
"131-2860","131","item of schema"
"131-2880","131","item of schema"
"131-2890","131","item of schema"
"112-400","112","item of schema"
"112-522","112","item of schema"
"112-390","112","item of schema"
"112-2935","112","item of schema"
"112-523","112","item of schema"
"112-440","112","item of schema"
"112-230","112","item of schema"
"112-1182","112","item of schema"
"112-2800","112","item of schema"
"112-2810","112","item of schema"
"112-2820","112","item of schema"
"112-2830","112","item of schema"
"112-2840","112","item of schema"
"112-820","112","item of schema"
"112-830","112","item of schema"
"112-2850","112","item of schema"
"112-2860","112","item of schema"
"112-2880","112","item of schema"
"112-2890","112","item of schema"
"112-2900","112","item of schema"
"112-2910","112","item of schema"
"112-2920","112","item of schema"
"112-2930","112","item of schema"
"112-2861","112","item of schema"
"112-2862","112","item of schema"
"111-400","111","item of schema"
"111-522","111","item of schema"
"111-390","111","item of schema"
"111-2935","111","item of schema"
"111-523","111","item of schema"
"111-440","111","item of schema"
"111-230","111","item of schema"
"111-1182","111","item of schema"
"111-2800","111","item of schema"
"111-2810","111","item of schema"
"111-2820","111","item of schema"
"111-2830","111","item of schema"
"111-2840","111","item of schema"
"111-820","111","item of schema"
"111-830","111","item of schema"
"111-2850","111","item of schema"
"111-2860","111","item of schema"
"111-2880","111","item of schema"
"111-2890","111","item of schema"
"111-2900","111","item of schema"
"111-2910","111","item of schema"
"111-2920","111","item of schema"
"111-2930","111","item of schema"
"111-2861","111","item of schema"
"111-2862","111","item of schema"
"113-400","113","item of schema"
"113-522","113","item of schema"
"113-390","113","item of schema"
"113-2935","113","item of schema"
"113-523","113","item of schema"
"113-440","113","item of schema"
"113-230","113","item of schema"
"113-1182","113","item of schema"
"113-2800","113","item of schema"
"113-2810","113","item of schema"
"113-2820","113","item of schema"
"113-2830","113","item of schema"
"113-2840","113","item of schema"
"113-820","113","item of schema"
"113-830","113","item of schema"
"113-2850","113","item of schema"
"113-2860","113","item of schema"
"113-2880","113","item of schema"
"113-2890","113","item of schema"
"113-2900","113","item of schema"
"113-2910","113","item of schema"
"113-2920","113","item of schema"
"113-2930","113","item of schema"
"113-2861","113","item of schema"
"113-2862","113","item of schema"
"64-400","64","item of schema"
"64-522","64","item of schema"
"64-390","64","item of schema"
"64-2935","64","item of schema"
"64-523","64","item of schema"
"64-440","64","item of schema"
"64-230","64","item of schema"
"64-1182","64","item of schema"
"64-2800","64","item of schema"
"64-2810","64","item of schema"
"64-2820","64","item of schema"
"64-2830","64","item of schema"
"64-2840","64","item of schema"
"64-820","64","item of schema"
"64-830","64","item of schema"
"64-2850","64","item of schema"
"64-2860","64","item of schema"
"64-2879","64","item of schema"
"72-400","72","item of schema"
"72-522","72","item of schema"
"72-390","72","item of schema"
"72-2935","72","item of schema"
"72-523","72","item of schema"
"72-440","72","item of schema"
"72-230","72","item of schema"
"72-1182","72","item of schema"
"72-2800","72","item of schema"
"72-2810","72","item of schema"
"72-2820","72","item of schema"
"72-2830","72","item of schema"
"72-2840","72","item of schema"
"72-820","72","item of schema"
"72-830","72","item of schema"
"72-2850","72","item of schema"
"72-2860","72","item of schema"
"148-400","148","item of schema"
"148-522","148","item of schema"
"148-390","148","item of schema"
"148-2935","148","item of schema"
"148-523","148","item of schema"
"148-440","148","item of schema"
"148-230","148","item of schema"
"148-1182","148","item of schema"
"148-2800","148","item of schema"
"148-2810","148","item of schema"
"148-2820","148","item of schema"
"148-2830","148","item of schema"
"148-2840","148","item of schema"
"148-820","148","item of schema"
"148-830","148","item of schema"
"148-2850","148","item of schema"
"148-2860","148","item of schema"
"148-2880","148","item of schema"
"32-400","32","item of schema"
"32-522","32","item of schema"
"32-390","32","item of schema"
"32-2935","32","item of schema"
"32-523","32","item of schema"
"32-440","32","item of schema"
"32-230","32","item of schema"
"32-1182","32","item of schema"
"32-2800","32","item of schema"
"32-2810","32","item of schema"
"32-2820","32","item of schema"
"32-2830","32","item of schema"
"32-2840","32","item of schema"
"32-820","32","item of schema"
"32-830","32","item of schema"
"32-2850","32","item of schema"
"32-2860","32","item of schema"
"32-2880","32","item of schema"
"32-2890","32","item of schema"
"32-2900","32","item of schema"
"32-2910","32","item of schema"
"32-2920","32","item of schema"
"32-2930","32","item of schema"
"32-2861","32","item of schema"
"32-2862","32","item of schema"
"32-2863","32","item of schema"
"32-2864","32","item of schema"
"41-400","41","item of schema"
"41-522","41","item of schema"
"41-390","41","item of schema"
"41-2935","41","item of schema"
"41-523","41","item of schema"
"41-440","41","item of schema"
"41-230","41","item of schema"
"41-1182","41","item of schema"
"41-2800","41","item of schema"
"41-2810","41","item of schema"
"41-2820","41","item of schema"
"41-2830","41","item of schema"
"41-2840","41","item of schema"
"41-820","41","item of schema"
"41-830","41","item of schema"
"41-2850","41","item of schema"
"41-2860","41","item of schema"
"41-2880","41","item of schema"
"41-2890","41","item of schema"
"41-2900","41","item of schema"
"41-2910","41","item of schema"
"41-2920","41","item of schema"
"43-400","43","item of schema"
"43-522","43","item of schema"
"43-390","43","item of schema"
"43-2935","43","item of schema"
"43-523","43","item of schema"
"43-440","43","item of schema"
"43-230","43","item of schema"
"43-1182","43","item of schema"
"43-2800","43","item of schema"
"43-2810","43","item of schema"
"43-2820","43","item of schema"
"43-2830","43","item of schema"
"43-2840","43","item of schema"
"43-820","43","item of schema"
"43-830","43","item of schema"
"43-2850","43","item of schema"
"43-2860","43","item of schema"
"43-2880","43","item of schema"
"43-2900","43","item of schema"
"43-2910","43","item of schema"
"43-2920","43","item of schema"
"43-2879","43","item of schema"
"133-400","133","item of schema"
"133-522","133","item of schema"
"133-390","133","item of schema"
"133-2935","133","item of schema"
"133-523","133","item of schema"
"133-440","133","item of schema"
"133-230","133","item of schema"
"133-1182","133","item of schema"
"133-2800","133","item of schema"
"133-2810","133","item of schema"
"133-2820","133","item of schema"
"133-2830","133","item of schema"
"133-2840","133","item of schema"
"133-820","133","item of schema"
"133-830","133","item of schema"
"133-2850","133","item of schema"
"133-2860","133","item of schema"
"115-400","115","item of schema"
"115-522","115","item of schema"
"115-390","115","item of schema"
"115-2935","115","item of schema"
"115-523","115","item of schema"
"115-440","115","item of schema"
"115-230","115","item of schema"
"115-1182","115","item of schema"
"115-2800","115","item of schema"
"115-2810","115","item of schema"
"115-2820","115","item of schema"
"115-2830","115","item of schema"
"115-2840","115","item of schema"
"115-820","115","item of schema"
