concept_id,value_as_number,unit_concept_id,operator_concept_id
35919135,100,,4171755
35919536,100,,4171755
35919335,100,,4171755
35942451,0,44777566,4171755
35942451,100,44777566,4171754
35942276,0,44777566,4171755
35942276,100,44777566,4171754
35919034,11,,4171756
35919016,11,,4171755
35942141,0.1,8554,4171755
35942141,100,8554,4171754
35919590,1,8554,4171756
35942377,1,8554,4171755
35942377,100,8554,4171754
35919049,1,8554,4171755
35919049,10,8554,4171754
35919219,11,8554,4171755
35919219,20,8554,4171754
35919338,21,8554,4171755
35919338,30,8554,4171754
35919689,31,8554,4171755
35919689,40,8554,4171754
35919349,41,8554,4171755
35919349,50,8554,4171754
35918940,51,8554,4171755
35918940,60,8554,4171754
35919831,61,8554,4171755
35919831,70,8554,4171754
35919704,71,8554,4171755
35919704,80,8554,4171754
35919345,81,8554,4171755
35919345,90,8554,4171754
35919737,91,8554,4171755
35919737,100,8554,4171754
35919120,0.1,8842,4171756
35942142,0.2,8842,4171755
35942142,999.9,8842,4171754
35919096,1000,8842,4171755
35942075,1,8554,4171755
35942075,100,8554,4171754
35919056,10,8554,4171756
35919558,31,8554,4171755
35919558,50,8554,4171754
35919153,51,8554,4171755
35919153,80,8554,4171754
35919398,80,8554,4172704
35919767,0,8645,4172703
35942170,0.1,8645,4171755
35942170,99999.9,8645,4171754
35919819,100000,8645,4171755
35919564,100,,4171755
35919256,1,8588,4171756
35942375,2,8588,4171755
35942375,988,8588,4171754
35919822,989,8588,4172704
35919291,1,8588,4171756
35942435,2,8588,4171755
35942435,988,8588,4171754
35919538,989,8588,4172704
35919318,1,8588,4171756
35942447,2,8588,4171755
35942447,988,8588,4171754
35919894,989,8588,4172704
35942506,1,,4171755
35942506,997,,4171754
35942218,1,8588,4171755
35942218,988,8588,4171754
35924350,989,8588,4172704
35921597,1,8582,4171756
35939630,1,8582,4171755
35939630,2,8582,4171754
35931673,2,8582,4171755
35931673,3,8582,4171754
35935791,3,8582,4171755
35935791,4,8582,4171754
35927972,4,8582,4171755
35927972,5,8582,4171754
35942509,1,8588,4171755
35942509,988,8588,4171754
35922327,989,8588,4172704
35927061,1,8582,4171756
35933732,1,8582,4171755
35933732,2,8582,4171754
35924042,2,8582,4171755
35924042,3,8582,4171754
35935834,3,8582,4171755
35935834,4,8582,4171754
35920320,4,8582,4171755
35920320,5,8582,4171754
35930644,5,8582,4172704
35942258,1,8504,4171755
35942258,979,8504,4171754
35939077,980,,4171755
35942474,1,8588,4171755
35942474,988,8588,4171754
35936674,989,8588,4172704
35937285,1,8582,4171756
35924220,1,8582,4171755
35924220,2,8582,4171754
35936706,2,8582,4171755
35936706,3,8582,4171754
35933335,3,8582,4171755
35933335,4,8582,4171754
35921964,4,8582,4171755
35921964,5,8582,4171754
35924279,0,8763,4172703
35932802,0.1,8763,4171756
35942550,0.2,8763,4171755
35942550,97.9,8763,4171754
35930858,98,8763,4171755
35928332,0,8842,4172703
35937335,0.1,8842,4171756
35942148,0.2,8842,4171755
35942148,97,8842,4171754
35925723,98,8842,4171755
35942154,1,8588,4171755
35942154,988,8588,4171754
35935346,989,8588,4172704
35927785,1,8582,4171756
35938752,1,8582,4171755
35938752,2,8582,4171754
35931622,2,8582,4171755
35931622,3,8582,4171754
35921164,3,8582,4171755
35921164,4,8582,4171754
35928866,4,8582,4171755
35928866,5,8582,4171754
35937635,5,8582,4172704
35942465,1,8588,4171755
35942465,988,8588,4171754
35924324,989,8588,4172704
35923700,1,8582,4171756
35930040,1,8582,4171755
35930040,2,8582,4171754
35929536,2,8582,4171755
35929536,3,8582,4171754
35927103,3,8582,4171755
35927103,4,8582,4171754
35930520,4,8582,4171755
35930520,5,8582,4171754
35938249,0,8763,4172703
35933372,0.1,8763,4171756
35942226,0.2,8763,4171755
35942226,97.9,8763,4171754
35935531,98,8763,4171755
35929738,0,8842,4172703
35923342,0.1,8842,4171756
35942461,0.2,8842,4171755
35942461,97.9,8842,4171754
35923087,98,8842,4171755
35938180,81,,4171755
35942438,1,8588,4171755
35942438,988,8588,4171754
35925250,989,8588,4172704
35935793,1,8582,4171756
35924840,1,8582,4171755
35924840,2,8582,4171754
35926030,2,8582,4171755
35926030,3,8582,4171754
35923819,3,8582,4171755
35923819,4,8582,4171754
35923828,4,8582,4171755
35923828,5,8582,4171754
35920347,0,8763,4172703
35933288,0.1,8763,4171756
35942503,0.2,8763,4171755
35942503,97.9,8763,4171754
35927187,98,8763,4171755
35932002,0,8842,4172703
35921350,0.1,8842,4171756
35942463,0.2,8842,4171755
35942463,97.9,8842,4171754
35936586,98,8842,4171755
35942118,1,8588,4171755
35942118,988,8588,4171754
35939759,989,8588,4172704
35929966,1,8582,4171756
35935068,1,8582,4171755
35935068,2,8582,4171754
35932397,2,8582,4171755
35932397,3,8582,4171754
35931310,3,8582,4171755
35931310,4,8582,4171754
35923740,4,8582,4171755
35923740,5,8582,4171754
35936024,5,8582,4172704
35938686,0,8763,4172703
35926516,0.1,8763,4171756
35942099,0.2,8763,4171755
35942099,97.9,8763,4171754
35921947,98,8763,4171755
35938580,0,8842,4172703
35937374,1,8842,4171755
35937374,19,8842,4171754
35933674,20,8842,4171755
35933674,29,8842,4171754
35933073,30,8842,4171755
35933073,39,8842,4171754
35920302,40,8842,4171755
35920302,49,8842,4171754
35928021,50,8842,4171755
35928021,59,8842,4171754
35926571,60,8842,4171755
35926571,69,8842,4171754
35930145,70,8842,4171755
35930145,79,8842,4171754
35928196,80,8842,4171755
35928196,89,8842,4171754
35930242,90,8842,4171755
35930242,99,8842,4171754
35920154,100,8842,4171755
35920154,199,8842,4171754
35927334,200,8842,4171755
35927334,299,8842,4171754
35922147,300,8842,4171755
35922147,399,8842,4171754
35931009,400,8842,4171755
35931009,499,8842,4171754
35924332,500,8842,4171755
35924332,599,8842,4171754
35937383,600,8842,4171755
35937383,699,8842,4171754
35929114,700,8842,4171755
35929114,799,8842,4171754
35922297,800,8842,4171755
35922297,899,8842,4171754
35930175,900,8842,4171755
35930175,999,8842,4171754
35936604,1000,8842,4171755
35936604,1999,8842,4171754
35923787,2000,8842,4171755
35923787,2999,8842,4171754
35935844,3000,8842,4171755
35935844,3999,8842,4171754
35926104,4000,8842,4171755
35926104,4999,8842,4171754
35923694,5000,8842,4171755
35923694,5999,8842,4171754
35921359,6000,8842,4171755
35921359,6999,8842,4171754
35940071,7000,8842,4171755
35940071,7999,8842,4171754
35928752,8000,8842,4171755
35928752,8999,8842,4171754
35933836,9000,8842,4171755
35933836,9999,8842,4171754
35922732,10000,8842,4171755
35942197,1,8588,4171755
35942197,988,8588,4171754
35932473,989,8588,4172704
35924815,1,8582,4171756
35922294,1,8582,4171755
35922294,2,8582,4171754
35920423,2,8582,4171755
35920423,3,8582,4171754
35923307,3,8582,4171755
35923307,4,8582,4171754
35922280,4,8582,4171755
35922280,5,8582,4171754
35935330,0,8763,4172703
35939426,0.1,8763,4171756
35942425,0.2,8763,4171755
35942425,97.9,8763,4171754
35934245,98,8763,4171755
35919962,0,8842,4172703
35926083,0.1,8842,4171756
35942308,0.2,8842,4171755
35942308,97.9,8842,4171754
35925159,98,8842,4171755
35942165,1,8588,4171755
35942165,988,8588,4171754
35932687,989,8588,4172704
35933111,1,8582,4171756
35931455,1,8582,4171755
35931455,2,8582,4171754
35930829,2,8582,4171755
35930829,3,8582,4171754
35931225,3,8582,4171755
35931225,4,8582,4171754
35932143,4,8582,4171755
35932143,5,8582,4171754
35942135,1,8588,4171755
35942135,988,8588,4171754
35939070,989,8588,4172704
35934394,1,8582,4171756
35923881,1,8582,4171755
35923881,2,8582,4171754
35935995,2,8582,4171755
35935995,3,8582,4171754
35924487,3,8582,4171755
35924487,4,8582,4171754
35939930,4,8582,4171755
35939930,5,8582,4171754
35942211,1,8588,4171755
35942211,979,8588,4171754
35931817,980,8588,4172704
35933136,1,8582,4171756
35939376,1,8582,4171755
35939376,2,8582,4171754
35923855,2,8582,4171755
35923855,3,8582,4171754
35939757,3,8582,4171755
35939757,4,8582,4171754
